File Generated on 05-Oct-2015 04:55:32,
Data for 04-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/04/2015,1,22866.3,4216.0,8521.3,10803.4,1426.9,1205.7,7890.0,5737.4,2271.6,1037.4
10/04/2015,2,21916.7,4080.6,8171.1,10399.3,1369.0,1150.1,7541.2,5507.9,2169.8,975.5
10/04/2015,3,21282.9,3993.7,7805.6,10171.3,1336.5,1123.0,7363.7,5380.5,2128.2,952.2
10/04/2015,4,20910.6,3959.7,7632.9,10034.4,1320.9,1118.6,7235.6,5305.1,2085.2,933.4
10/04/2015,5,20866.3,3929.5,7515.7,10050.6,1314.9,1119.7,7239.5,5252.6,2100.1,930.5
10/04/2015,6,21225.9,4016.2,7533.8,10185.3,1330.1,1135.6,7346.7,5347.7,2130.6,933.9
10/04/2015,7,22055.0,4156.8,7600.7,10528.3,1379.5,1163.1,7612.5,5497.1,2200.3,965.5
10/04/2015,8,22850.2,4286.3,7877.9,10889.2,1439.8,1184.1,7987.2,5633.2,2293.3,1027.3
10/04/2015,9,24186.3,4525.1,7998.3,11279.6,1488.3,1218.8,8502.6,5836.5,2358.6,1103.1
10/04/2015,10,25346.8,4715.0,8353.0,11631.1,1541.3,1276.8,8989.7,6078.5,2453.5,1126.2
10/04/2015,11,25881.8,4783.0,8664.4,11731.8,1578.8,1315.9,9216.2,6176.0,2516.3,1122.4
10/04/2015,12,26067.6,4765.7,8851.8,11737.9,1597.0,1332.6,9346.6,6203.1,2557.6,1092.6
10/04/2015,13,25985.3,4771.6,8946.9,11811.4,1614.3,1344.2,9363.7,6230.5,2590.7,1091.5
10/04/2015,14,25729.3,4711.5,8980.1,11808.4,1621.8,1348.1,9350.8,6204.8,2609.1,1060.5
10/04/2015,15,25485.7,4688.9,8958.3,11833.9,1625.8,1345.0,9298.7,6204.5,2628.2,1066.6
10/04/2015,16,25384.7,4697.3,8949.1,11909.4,1643.5,1345.1,9261.9,6229.4,2625.1,1139.0
10/04/2015,17,25758.7,4748.8,8959.3,12023.9,1676.4,1360.3,9357.0,6231.0,2658.5,1172.7
10/04/2015,18,26423.6,4841.3,9083.5,12173.6,1710.0,1377.1,9564.1,6317.1,2751.7,1226.5
10/04/2015,19,27404.8,4908.6,9255.6,12380.3,1723.2,1392.0,9832.6,6408.3,2737.3,1219.2
10/04/2015,20,28945.7,5129.7,9721.1,13035.4,1808.4,1462.2,10172.1,6795.8,2847.7,1274.8
10/04/2015,21,28472.4,5124.8,9979.2,13123.7,1869.1,1450.3,9924.0,6920.9,2936.2,1338.2
10/04/2015,22,27095.3,4936.2,9810.5,12597.9,1794.4,1413.8,9336.6,6658.5,2801.7,1273.5
10/04/2015,23,25344.3,4657.1,9431.8,11933.3,1688.6,1338.4,8644.4,6343.0,2610.7,1165.6
10/04/2015,24,23530.9,4422.5,8900.3,11225.7,1586.3,1257.2,7956.0,5948.8,2428.4,1056.5
