File Generated on 08-Oct-2015 06:39:28,
Data for 07-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/07/2015,1,22813.8,4310.1,9130.5,11528.4,1673.6,1304.4,7596.4,6284.8,2467.8,893.4
10/07/2015,2,21845.4,4163.0,8638.8,11088.9,1595.4,1252.0,7314.2,5986.3,2353.4,835.6
10/07/2015,3,21308.7,4143.6,8318.6,10909.6,1532.8,1213.5,7153.4,5868.0,2281.8,807.0
10/07/2015,4,21185.4,4065.9,8120.2,10819.1,1505.9,1210.2,7154.4,5841.2,2249.4,794.2
10/07/2015,5,21656.5,4146.4,8081.3,10961.3,1531.1,1230.9,7336.7,5888.7,2285.5,802.3
10/07/2015,6,23141.6,4411.8,8291.8,11667.5,1637.7,1298.0,7966.5,6171.6,2416.7,861.1
10/07/2015,7,26131.6,4948.6,8918.4,12925.8,1846.0,1438.4,9149.2,6897.3,2694.2,992.6
10/07/2015,8,27805.6,5156.3,10017.9,13712.1,1981.0,1507.9,9638.0,7387.1,2875.1,1040.1
10/07/2015,9,28918.0,5118.3,10545.9,13678.8,2009.2,1535.1,9643.7,7412.6,2903.9,1023.1
10/07/2015,10,29537.2,5178.6,10875.4,13782.5,2049.7,1572.6,9754.2,7551.7,2961.9,1040.9
10/07/2015,11,29819.0,5206.8,11137.6,14061.8,2098.2,1607.5,9814.2,7679.0,3097.3,1072.5
10/07/2015,12,29951.6,5265.6,11446.0,14129.6,2142.8,1621.2,10005.9,7840.9,3188.9,1109.4
10/07/2015,13,29927.5,5318.0,11656.5,14584.0,2198.0,1628.5,10176.5,7809.1,3285.6,1167.3
10/07/2015,14,30170.0,5269.7,11782.1,14856.5,2251.2,1638.6,10385.7,7911.4,3370.1,1226.9
10/07/2015,15,30359.8,5326.4,11956.9,14998.7,2275.2,1623.7,10534.2,7921.6,3372.8,1285.6
10/07/2015,16,30423.2,5446.0,11924.1,15061.4,2265.3,1616.8,10588.9,7805.5,3447.0,1336.7
10/07/2015,17,30693.8,5464.1,11748.0,15074.0,2268.0,1614.5,10773.4,7741.5,3513.6,1390.5
10/07/2015,18,30840.7,5452.6,11541.7,14899.6,2250.4,1601.0,10799.0,7572.6,3447.7,1425.6
10/07/2015,19,31087.7,5462.3,11256.4,14718.4,2200.0,1611.4,10750.0,7421.5,3375.2,1394.6
10/07/2015,20,32103.3,5687.0,11421.0,15153.6,2234.6,1664.2,11043.3,7812.6,3408.0,1390.5
10/07/2015,21,31209.5,5527.2,11539.9,15005.2,2216.5,1627.0,10829.9,7883.2,3382.8,1387.3
10/07/2015,22,29399.0,5198.5,11210.3,14230.1,2091.4,1553.8,10196.0,7940.1,3211.6,1290.0
10/07/2015,23,26955.9,4730.4,10682.9,13251.1,1919.5,1442.1,9272.1,7421.8,2964.8,1151.0
10/07/2015,24,25032.0,4430.4,9931.0,12149.3,1769.8,1339.3,8445.5,7006.2,2684.1,1019.9
