File Generated on 07-Oct-2015 04:55:33,
Data for 06-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/06/2015,1,22741.8,4205.6,9055.6,11570.5,1650.6,1215.9,7638.8,6114.5,2442.0,916.3
10/06/2015,2,21816.1,4039.3,8600.6,11127.8,1569.6,1163.8,7359.3,5870.5,2317.8,855.6
10/06/2015,3,21430.7,4038.6,8299.3,10886.8,1516.5,1145.2,7233.3,5747.2,2234.6,819.1
10/06/2015,4,21387.7,4059.5,8128.1,10847.2,1486.0,1134.3,7243.0,5728.0,2206.5,800.3
10/06/2015,5,21907.7,4216.7,8038.1,11010.5,1507.2,1152.7,7483.8,5771.7,2240.0,810.9
10/06/2015,6,23803.5,4509.5,8225.9,11747.0,1613.7,1237.3,8177.1,6101.8,2381.9,865.3
10/06/2015,7,27167.4,5015.3,8904.0,13045.0,1824.3,1367.1,9331.3,6914.8,2660.8,993.3
10/06/2015,8,28737.3,5226.2,10001.3,13823.0,1949.5,1430.8,9843.8,7403.6,2794.9,1042.1
10/06/2015,9,28894.4,5192.7,10606.7,13767.0,1958.8,1461.3,9758.2,7478.2,2814.2,1024.9
10/06/2015,10,28867.6,5205.2,10835.3,13992.4,2010.2,1500.9,9839.4,7619.2,2889.4,1039.5
10/06/2015,11,29099.6,5223.2,11013.2,14233.0,2073.9,1551.8,9911.4,7809.8,3001.9,1070.1
10/06/2015,12,29117.3,5245.1,11174.7,14138.3,2111.2,1574.3,9952.0,7867.8,3087.8,1105.7
10/06/2015,13,29250.4,5254.9,11245.3,14467.8,2162.6,1603.7,9958.9,7938.0,3165.5,1160.7
10/06/2015,14,29442.9,5311.2,11284.5,14695.5,2192.0,1639.8,10011.4,7949.6,3250.8,1209.9
10/06/2015,15,29561.0,5294.1,11385.5,14757.7,2216.4,1677.3,10056.3,7899.1,3303.4,1260.3
10/06/2015,16,29783.8,5336.1,11383.9,14793.6,2215.5,1673.1,10167.5,7841.7,3309.0,1300.2
10/06/2015,17,30100.6,5378.6,11343.4,14720.4,2204.2,1692.2,10229.3,7731.8,3307.0,1344.8
10/06/2015,18,30387.0,5374.1,11269.1,14541.5,2171.4,1662.5,10195.6,7630.2,3257.8,1373.0
10/06/2015,19,30779.9,5420.9,11112.3,14383.6,2148.9,1655.2,10236.3,7579.8,3215.4,1357.4
10/06/2015,20,31866.4,5672.4,11250.1,14988.1,2196.9,1699.7,10709.0,7875.8,3291.5,1364.4
10/06/2015,21,31076.2,5643.6,11491.8,15014.0,2203.8,1655.5,10377.5,7912.4,3294.9,1378.6
10/06/2015,22,29287.4,5323.6,11178.8,14414.3,2097.3,1596.8,9795.3,7571.7,3095.7,1270.4
10/06/2015,23,26784.8,4915.3,10628.6,13185.5,1930.7,1476.4,8911.0,6979.9,2885.5,1128.0
10/06/2015,24,24480.4,4575.8,9858.1,12207.6,1784.2,1370.2,8203.1,6597.4,2663.6,993.1
