File Generated on 03-Oct-2015 04:55:36,
Data for 02-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/02/2015,1,22799.9,4279.0,9046.7,11381.4,1623.7,1228.7,7573.8,6138.8,2320.5,992.1
10/02/2015,2,21792.9,4109.4,8564.2,10958.5,1560.2,1193.3,7246.1,5919.7,2223.6,948.3
10/02/2015,3,21271.8,4027.3,8255.3,10748.3,1519.2,1163.3,7084.1,5848.0,2157.7,924.6
10/02/2015,4,21127.9,3982.8,8065.4,10724.8,1498.0,1155.7,7023.5,5775.1,2145.0,913.0
10/02/2015,5,21505.7,4065.1,8002.0,11001.1,1518.8,1172.9,7198.2,5862.9,2173.3,919.3
10/02/2015,6,22976.8,4323.6,8205.0,11600.5,1628.9,1222.8,7765.3,6232.2,2320.9,987.3
10/02/2015,7,26290.2,4767.2,8790.7,12755.6,1830.1,1338.3,8845.6,6931.3,2576.3,1102.5
10/02/2015,8,28269.3,5008.5,9877.2,13543.8,1958.1,1425.1,9487.9,7386.8,2761.7,1207.7
10/02/2015,9,29046.7,5091.1,10371.8,13731.0,1961.7,1466.0,9676.3,7470.2,2741.9,1180.3
10/02/2015,10,29517.4,5178.1,10585.8,13927.1,1987.9,1499.9,9839.7,7582.8,2776.4,1183.7
10/02/2015,11,29893.5,5249.6,10779.3,14059.7,2013.0,1520.4,9951.3,7649.2,2822.7,1189.3
10/02/2015,12,29940.6,5278.7,10918.4,14017.2,2001.6,1535.8,9895.0,7614.9,2815.8,1204.3
10/02/2015,13,29841.9,5219.1,10964.0,14023.9,2005.3,1533.5,9875.8,7608.2,2804.5,1198.7
10/02/2015,14,29850.5,5178.6,10937.6,13983.2,2002.1,1529.3,9827.1,7563.7,2807.1,1220.9
10/02/2015,15,29630.3,5176.0,10971.9,13781.9,1978.7,1517.0,9725.2,7430.6,2827.9,1212.4
10/02/2015,16,29477.7,5133.3,10869.7,13544.3,1930.9,1494.7,9662.2,7259.9,2804.5,1212.1
10/02/2015,17,29628.2,5241.1,10737.4,13546.7,1918.8,1486.5,9684.0,7249.2,2780.4,1227.2
10/02/2015,18,29875.0,5264.1,10585.9,13493.9,1905.0,1494.2,9853.1,7123.4,2765.2,1265.7
10/02/2015,19,30351.7,5317.8,10418.5,13562.7,1898.1,1499.0,10007.6,7106.0,2795.5,1294.6
10/02/2015,20,30499.9,5421.8,10577.9,13933.3,1944.4,1527.0,10031.4,7374.4,2854.6,1331.9
10/02/2015,21,29677.3,5380.6,10925.9,13810.3,1926.7,1507.2,9692.7,7348.5,2824.0,1325.7
10/02/2015,22,28415.0,5209.5,10635.5,13491.5,1870.3,1457.7,9218.9,7147.1,2752.7,1289.8
10/02/2015,23,26639.7,4938.8,10265.2,12818.4,1766.9,1392.2,8646.8,6751.8,2624.7,1230.4
10/02/2015,24,24793.0,4653.7,9585.4,11907.8,1627.9,1290.0,8087.8,6337.1,2462.3,1157.3
